variable_id,class_name,name,description,canonical_unit,geography_id,status,phase,expected_min,expected_max,temporal_semantics,required_metadata
economic.labour_force.growth_yoy_pct,Economic,Labour force growth,Percentage change in the seasonally adjusted labour force from the same month one year earlier.,percent,CA-BC,ready,1,-20,20,,[]
economic.labour_force.level,Economic,Labour force,"Seasonally adjusted number of persons aged 15 years and over in the labour force in British Columbia, after applying the Statistics Canada scalar factor.",persons,CA-BC,ready,1,1000000,7000000,,[]
economic.labour_force_participation_rate_pct,Economic,Labour force participation rate,"Labour force participation rate for the stated geography, age and sex scope, period, source and forecast vintage.",percent,CA-BC,ready,1,30,90,,[]
economic.nominal_gdp_growth_pct,Economic,Nominal GDP growth,Annual percentage change in nominal gross domestic product for the stated geography and forecast vintage.,percent,CA-BC,forecast_source_profiled,2,-25,40,,[]
economic.population.growth_yoy_pct,Economic,Population growth,Percentage change in the estimated resident population of British Columbia from the same reference period one year earlier.,percent,CA-BC,ready,1,-5,10,,[]
economic.population.level,Economic,Population,Estimated resident population of British Columbia at the reference date.,persons,CA-BC,ready,1,3000000,10000000,,[]
economic.productivity_growth_pct,Economic,Labour productivity growth,"Annual percentage change in labour productivity under the stated definition, source and scenario.",percent,CA-BC,source_identified,2,-20,20,,[]
economic.real_gdp_growth_pct,Economic,Real GDP growth,Annual percentage change in real gross domestic product for British Columbia.,percent,CA-BC,document_assumption,3,,,,[]
economic.retail_sales_growth_pct,Economic,Retail sales growth,Annual percentage change in nominal retail sales for the stated geography and forecast vintage.,percent,CA-BC,forecast_source_profiled,2,-40,50,,[]
economic.unemployment_rate_pct,Economic,Unemployment rate,"Unemployment rate for the stated geography, population scope, period, source and forecast vintage.",percent,CA-BC,ready,1,0,30,,[]
electrification.buildings.rate_pct_per_year,Electrification,Building electrification rate,Annual share of the specified building stock converting a named end use from fossil fuel to electricity.,percent_per_year,CA-BC,draft,2,,,,[]
electrification.ev.bev_stock.level,Electrification,Battery-electric vehicle stock,Registered battery-electric vehicle stock in B.C. under the configured ICBC geography and vehicle-class scope.,vehicles,CA-BC,source_profiled,2,0,3000000,,[]
electrification.ev.bev_stock_growth_yoy_pct,Electrification,Battery-electric vehicle stock growth,Annual percentage growth in registered B.C. battery-electric vehicle stock under a consistent ICBC scope.,percent,CA-BC,derived_source_profiled,2,-30,300,,[]
electrification.ev.phev_stock.level,Electrification,Plug-in hybrid vehicle stock,Registered plug-in hybrid vehicle stock in B.C. under the configured ICBC geography and vehicle-class scope.,vehicles,CA-BC,source_profiled,2,0,3000000,,[]
electrification.ev.phev_stock_growth_yoy_pct,Electrification,Plug-in hybrid vehicle stock growth,Annual percentage growth in registered B.C. plug-in hybrid vehicle stock under a consistent ICBC scope.,percent,CA-BC,derived_source_profiled,2,-30,300,,[]
electrification.ev.stock.level,Electrification,EV stock,"Registered in-use light-duty or total electric vehicles, with vehicle and powertrain scope specified.",vehicles,CA-BC,draft,2,,,,[]
electrification.ev.stock_growth_yoy_pct,Electrification,EV stock growth,Year-over-year percentage change in the defined electric-vehicle stock.,percent,CA-BC,draft,2,,,,[]
electrification.heat_pump.installed_cost_cad,Electrification,Heat pump installed cost,"Installed cost for a defined heat-pump type and building archetype, with rebate, tax, electrical-upgrade and dollar-year treatment specified.",CAD_per_installation,CA-BC,draft,2,,,,[]
electrification.residential_heating_systems.electric_stock,Electrification,Residential electric heating-system stock,"NRCan estimate of electric residential heating systems in British Columbia, excluding the separately identified heat-pump category.",systems,CA-BC,ready,1,0,5000000,,[]
electrification.residential_heating_systems.heat_pump_share_pct,Electrification,Residential heat-pump share,NRCan estimate of heat pumps as a share of residential heating-system stock in British Columbia.,percent,CA-BC,ready,1,0,100,,[]
electrification.residential_heating_systems.heat_pump_stock,Electrification,Residential heat-pump heating-system stock,NRCan estimate of residential heat-pump heating systems in British Columbia.,systems,CA-BC,ready,1,0,5000000,,[]
electrification.residential_heating_systems.natural_gas_stock,Electrification,Residential natural-gas heating-system stock,Combined NRCan estimate of medium- and high-efficiency natural-gas residential heating systems in British Columbia.,systems,CA-BC,ready,1,0,5000000,,[]
energy.natural_gas.bc_gross_production_e3m3,Energy,B.C. gross reported natural-gas production,Monthly sum of gross reported gas production in the BCER bulk archive; not equivalent to marketable production.,e3m3,CA-BC,source_profiled,2,0,10000000,,[]
energy.natural_gas.bc_marketable_production_e3m3,Energy,B.C. marketable natural-gas production,Monthly British Columbia marketable natural-gas production published by the Canada Energy Regulator.,e3m3,CA-BC,ready,1,0,10000000,,[]
financial.allowed_roe_pct,Financial,Allowed return on equity,Regulator-approved return on equity for a named utility and decision context.,percent,,document_recipe,2,0,30,,[]
financial.cost_of_debt_pct,Financial,Cost of debt,"Embedded, forecast or allowed cost of debt, with issuer, regulatory treatment and period specified. Retain entity, approval status, decision context and filing vintage.",percent,CA-BC,regulatory_filing,3,,,,[]
financial.cost_of_equity_pct,Financial,Cost of equity,"Forecast or allowed return on equity, with methodology, capital structure and period specified. Retain entity, approval status, decision context and filing vintage.",percent,CA-BC,regulatory_filing,3,,,,[]
financial.deemed_equity_pct,Financial,Deemed common-equity share,Regulator-approved deemed common-equity share for a named utility and decision context.,percent,,document_recipe,2,0,100,,[]
financial.discount_rate_pct,Financial,Discount rate,"Legacy generic discount-rate variable retained for compatibility. New records should use social, utility-regulatory or pension discount-rate variables and preserve the named decision context.",percent,CA-BC,legacy_generic,3,,,non_temporal_parameter,"[""decision_context"", ""time_basis""]"
financial.long_term_interest_rate_assumption_pct,Financial,Long-term interest-rate assumption,Long-term Canadian interest-rate assumption used in a named public-sector or utility decision context.,percent,,document_recipe,2,-5,25,,[]
financial.pension_discount_rate_pct,Financial,Pension and post-employment-benefit discount rate,Accounting discount-rate assumption used for pension or other post-employment-benefit expense; context must be retained and it must not be treated as a project discount rate.,percent,,document_recipe,2,0,20,non_temporal_parameter,"[""decision_context"", ""time_basis"", ""evidence_type""]"
financial.short_term_interest_rate_assumption_pct,Financial,Short-term interest-rate assumption,Short-term Canadian interest-rate assumption used in a named public-sector or utility decision context.,percent,,document_recipe,2,-5,25,,[]
financial.social_discount_rate_pct,Financial,Social discount rate,"Real social discount rate prescribed or recommended for a named public policy or benefit-cost decision context. This is a non-temporal parameter and must retain its publication, effective and decision context.",percent,,document_recipe,2,0,20,non_temporal_parameter,"[""decision_context"", ""time_basis"", ""evidence_type""]"
financial.utility_regulatory_discount_rate_pct,Financial,Utility regulatory discount rate,"Discount rate used for a named utility regulatory calculation. This is a non-temporal parameter; it must not be confused with allowed ROE, WACC, cost of debt or pension discount rates.",percent,,document_recipe,3,0,30,non_temporal_parameter,"[""decision_context"", ""time_basis"", ""evidence_type""]"
financial.wacc_pct,Financial,WACC,"Nominal or real weighted average cost of capital, before or after tax as explicitly identified. Retain entity, approval status, decision context and filing vintage.",percent,CA-BC,regulatory_filing,3,,,,[]
industrial.ai.compute_growth_pct_per_year,Industrial,AI compute growth,"Annual growth in a specified measure of AI training or inference compute, with scope and denominator retained.",percent_per_year,GLOBAL,draft,3,,,,[]
industrial.data_centre.power_intensity_mw_per_unit,Industrial,Data centre power intensity,Electrical demand per defined unit of data-centre capacity or floor area; denominator and load convention are required.,source_unit,GLOBAL,draft,3,,,,[]
industrial.data_centre.realization_rate_pct,Industrial,Data centre realization rate,Derived probability that a data-centre proposal at a defined development stage reaches construction or commercial operation within a stated time horizon.,percent,CA-BC,derived_project_events,3,,,,[]
industrial.lng.realization_rate_pct,Industrial,LNG realization rate,Derived probability that a project at a defined development stage reaches a defined realized stage within a stated time horizon.,percent,CA-BC,derived_project_events,3,,,,[]
industrial.mining.realization_rate_pct,Industrial,Mining realization rate,Derived probability that a mining project at a defined development stage reaches construction or commercial operation within a stated time horizon.,percent,CA-BC,derived_project_events,3,,,,[]
infrastructure.construction.lead_time_months,Infrastructure,Construction lead times,Elapsed time between defined project milestones for a named infrastructure class.,months,CA-BC,derived_project_events,3,,,,[]
infrastructure.transformer.lead_time_months,Infrastructure,Transformer lead times,Elapsed time from order to delivery for a specified transformer class and procurement market.,months,North America,draft,2,,,,[]
reliability.elcc_pct_nameplate,Reliability,ELCC assumption,"Effective load-carrying capability as a share of nameplate capacity for a defined resource, duration, penetration level, system and target year.",percent_of_nameplate,CA-BC,regulatory_filing,3,,,,[]
reliability.electricity_import_cost_cad_per_mwh,Reliability,Electricity import cost,"Observed or assumed electricity import cost, including market, delivery point, currency and price basis.",CAD_per_MWh,CA-BC,regulatory_filing,3,,,,[]
reliability.electricity_trade.canada_export_value_cad,Reliability,Canadian electricity export value,"Monthly value of international electricity exports from Canada, including capacity charges where reported.",CAD,CA,ready,1,0,2000000000,,[]
reliability.electricity_trade.canada_exports_mwh,Reliability,Canadian electricity exports,Monthly international electricity exports from Canada reported by the Canada Energy Regulator.,MWh,CA,ready,1,0,20000000,,[]
reliability.electricity_trade.canada_import_value_cad,Reliability,Canadian electricity import value,"Monthly value of international electricity imports to Canada, including capacity charges where reported.",CAD,CA,ready,1,0,2000000000,,[]
reliability.electricity_trade.canada_imports_mwh,Reliability,Canadian electricity imports,Monthly international electricity imports to Canada reported by the Canada Energy Regulator.,MWh,CA,ready,1,0,20000000,,[]
reliability.electricity_trade.west_export_price_cad_per_mwh,Reliability,Western Canada electricity export price,"CER monthly weighted-average international electricity export price for the western region, which includes B.C., Alberta, Saskatchewan, and Manitoba.",CAD_per_MWh,CA-WEST,ready,1,-500,5000,,[]
reliability.electricity_trade.west_import_price_cad_per_mwh,Reliability,Western Canada electricity import price,"CER monthly weighted-average international electricity import price for the western region, which includes B.C., Alberta, Saskatchewan, and Manitoba.",CAD_per_MWh,CA-WEST,ready,1,-500,5000,,[]
reliability.import_energy_availability_gwh,Reliability,Import energy availability,"Energy available for import over a defined period and under a named market, hydrological or reliability condition.",GWh,CA-BC,regulatory_filing,3,,,,[]
reliability.reserve_margin_pct,Reliability,Reserve margin,"Planning reserve margin for a defined system, season, planning year and capacity-accreditation convention.",percent,CA-BC,regulatory_filing,3,,,,[]
technology.battery.installed_cost_cad_per_kwh,Technology,Battery cost curve,"Installed battery-system cost for a defined chemistry, duration, power/energy basis, scenario, target year and dollar year.",CAD_per_kWh,CA-BC,draft,2,,,,[]
technology.hydrogen.levelized_cost_cad_per_kg,Technology,Hydrogen cost curve,"Levelized hydrogen production cost for a defined production pathway, electricity price, utilization, scenario, region and dollar year.",CAD_per_kg_H2,CA-BC,draft,2,,,,[]
technology.solar.capex_cad_per_kw,Technology,Solar cost curve,"Capital cost for a defined solar technology, scale, scenario, target year, region and dollar year.",CAD_per_kW,CA-BC,draft,2,,,,[]
technology.wind.capex_cad_per_kw,Technology,Wind cost curve,"Capital cost for a defined wind technology, resource class, scenario, target year, region and dollar year.",CAD_per_kW,CA-BC,draft,2,,,,[]
utility.capacity_gap_mw,Utility,Utility capacity gap,"Forecast dependable-capacity requirement or supply gap for the named utility, scenario, target period and vintage.",MW,,document_recipe,2,-10000,30000,,[]
utility.capex_actual_cad_millions,Utility,Utility actual capital expenditure,"Actual capital expenditure or property, plant and equipment additions for the named utility and stated reporting basis.",CAD_millions,,document_recipe,2,0,30000,,[]
utility.capex_forecast_cad_millions,Utility,Utility capital expenditure forecast,"Forecast capital expenditure for the named utility, target period and filing vintage.",CAD_millions,,document_recipe,2,0,50000,,[]
utility.customer_count,Utility,Utility customer count,Actual or forecast customer count for the named utility and service territory.,customers,,document_recipe,2,0,10000000,,[]
utility.customer_growth_pct,Utility,Utility customer growth,Actual or forecast annual customer-count growth for the named utility and service territory.,percent,,document_recipe,2,-20,30,,[]
utility.domestic_generation_gwh,Utility,Utility domestic generation,Electricity generated by the named utility within the stated service or reporting scope.,GWh,,document_recipe,2,0,150000,,[]
utility.dsm_savings_gwh,Utility,Utility demand-side management savings,Actual or forecast annual energy savings attributed to utility demand-side management.,GWh,,document_recipe,2,0,30000,,[]
utility.electrification_increment_gwh,Utility,Incremental electricity load from fuel switching,"Incremental electricity demand attributed to a named fuel-switching or electrification driver, scenario, target year and forecast vintage.",GWh,,document_recipe,2,0,100000,,[]
utility.energy_supply_gap_gwh,Utility,Utility energy supply gap,"Forecast firm-energy requirement or supply gap for the named utility, scenario, target period and vintage.",GWh,,document_recipe,2,-50000,100000,,[]
utility.independent_power_purchases_gwh,Utility,Independent power and long-term purchases,Electricity purchased from independent power producers and long-term contracts by the named utility.,GWh,,document_recipe,2,0,100000,,[]
utility.line_loss_and_system_use_gwh,Utility,Line losses and system use,Electricity attributed to line losses and internal system use for the named utility.,GWh,,document_recipe,2,0,20000,,[]
utility.loss_rate_pct,Utility,Utility system loss-rate assumption,Electricity or gas system loss-rate assumption used by the named utility in the stated planning or rate context.,percent,,document_recipe,2,0,30,,[]
utility.market_purchases_gwh,Utility,Utility market purchases,Electricity market purchases for the named utility and stated period.,GWh,,document_recipe,2,0,100000,,[]
utility.natural_gas_cost_cad_millions,Utility,Utility natural-gas cost,"Natural-gas commodity, transport or storage cost for the named gas utility and stated reporting period, with scope retained in metadata.",CAD_millions,,document_recipe,2,-1000,10000,,[]
utility.power_purchase_cost_cad_millions,Utility,Utility power-purchase cost,Power-purchase cost for the named electric utility and stated reporting period.,CAD_millions,,document_recipe,2,-1000,10000,,[]
utility.rate_base_cad_millions,Utility,Utility rate base,"Actual, approved or forecast average rate base for the named regulated utility.",CAD_millions,,document_recipe,2,0,100000,,[]
utility.rate_change_pct,Utility,Utility rate change,"Proposed, interim or approved utility rate change for the named utility, service and effective period.",percent,,document_recipe,2,-100,200,,[]
utility.system_exports_gwh,Utility,Utility system exports,Electricity exported by the named utility in the stated period and forecast vintage.,GWh,,document_recipe,2,0,50000,,[]
utility.system_imports_gwh,Utility,Utility system imports,Electricity imports assumed or observed for the named utility.,GWh,,document_recipe,2,0,100000,,[]
utility.thermal_generation_gwh,Utility,Thermal and other generation,Thermal and other electricity generation for the named utility.,GWh,,document_recipe,2,0,20000,,[]
utility.total_load_and_exports_gwh,Utility,Total utility load and system exports,"Domestic sales, system exports, line losses and system use for the named utility.",GWh,,document_recipe,2,0,200000,,[]
utility.trade_income_cad_millions,Utility,Utility electricity trade income,Actual or forecast trade income for the named utility and reporting period.,CAD_millions,,document_recipe,2,-5000,10000,,[]
utility.water_inflows_pct_of_average,Utility,System water inflows relative to average,Forecast or observed water inflows for the named hydroelectric utility as a percentage of its planning average.,percent,,document_recipe,2,0,250,,[]
